ext_host_id,ext_ip_octet_1,ext_ip_octet_2,ext_ip_octet_3,ext_ip_octet_4,ext_category,dst_ip
EXT_0,8,229,200,38,web_server,8.229.200.38
EXT_1,64,98,113,127,web_server,64.98.113.127
EXT_2,208,34,126,88,mail_server,208.34.126.88
EXT_3,34,28,93,71,dns_server,34.28.93.71
EXT_4,35,192,43,170,mail_server,35.192.43.170
EXT_5,52,43,64,40,web_server,52.43.64.40
EXT_6,35,96,35,121,api_endpoint,35.96.35.121
EXT_7,17,234,207,74,cdn,17.234.207.74
EXT_8,35,185,155,127,dns_server,35.185.155.127
EXT_9,54,207,223,199,cdn,54.207.223.199
EXT_10,64,154,3,248,mail_server,64.154.3.248
EXT_11,64,13,87,146,web_server,64.13.87.146
EXT_12,64,40,80,158,web_server,64.40.80.158
EXT_13,204,222,115,5,cdn,204.222.115.5
EXT_14,35,126,134,34,cloud_service,35.126.134.34
EXT_15,157,128,61,221,cdn,157.128.61.221
EXT_16,8,61,130,176,mail_server,8.61.130.176
EXT_17,72,88,246,35,web_server,72.88.246.35
EXT_18,72,167,45,25,cloud_service,72.167.45.25
EXT_19,23,136,60,60,api_endpoint,23.136.60.60
EXT_20,93,140,89,185,mail_server,93.140.89.185
EXT_21,8,15,171,131,cloud_service,8.15.171.131
EXT_22,151,146,141,136,api_endpoint,151.146.141.136
EXT_23,52,155,48,152,cdn,52.155.48.152
EXT_24,151,47,193,87,mail_server,151.47.193.87
EXT_25,151,157,67,141,cdn,151.157.67.141
EXT_26,17,34,147,91,cdn,17.34.147.91
EXT_27,23,173,156,147,dns_server,23.173.156.147
EXT_28,157,227,160,151,api_endpoint,157.227.160.151
EXT_29,204,169,17,89,dns_server,204.169.17.89
EXT_30,74,176,191,215,dns_server,74.176.191.215
EXT_31,142,197,55,74,web_server,142.197.55.74
EXT_32,40,204,131,25,cloud_service,40.204.131.25
EXT_33,23,105,51,140,mail_server,23.105.51.140
EXT_34,93,133,177,191,dns_server,93.133.177.191
EXT_35,17,195,226,198,cloud_service,17.195.226.198
EXT_36,204,158,182,202,api_endpoint,204.158.182.202
EXT_37,64,190,198,121,web_server,64.190.198.121
EXT_38,54,38,95,13,mail_server,54.38.95.13
EXT_39,52,147,78,102,cloud_service,52.147.78.102
EXT_40,52,5,188,86,dns_server,52.5.188.86
EXT_41,20,0,138,212,mail_server,20.0.138.212
EXT_42,208,224,230,164,api_endpoint,208.224.230.164
EXT_43,31,105,205,250,cloud_service,31.105.205.250
EXT_44,13,158,30,23,cloud_service,13.158.30.23
EXT_45,20,50,68,43,web_server,20.50.68.43
EXT_46,40,142,213,223,cloud_service,40.142.213.223
EXT_47,8,239,173,177,cloud_service,8.239.173.177
EXT_48,199,24,125,134,cloud_service,199.24.125.134
EXT_49,40,196,163,31,dns_server,40.196.163.31
EXT_50,104,12,235,110,api_endpoint,104.12.235.110
EXT_51,8,97,164,61,web_server,8.97.164.61
EXT_52,54,152,134,72,mail_server,54.152.134.72
EXT_53,93,55,55,95,mail_server,93.55.55.95
EXT_54,8,108,233,76,web_server,8.108.233.76
EXT_55,157,206,180,78,web_server,157.206.180.78
EXT_56,64,202,136,241,api_endpoint,64.202.136.241
EXT_57,20,245,218,214,cdn,20.245.218.214
EXT_58,13,41,130,123,dns_server,13.41.130.123
EXT_59,199,40,97,204,web_server,199.40.97.204
EXT_60,17,69,68,64,dns_server,17.69.68.64
EXT_61,104,50,91,163,cloud_service,104.50.91.163
EXT_62,40,41,173,187,dns_server,40.41.173.187
EXT_63,172,74,48,68,api_endpoint,172.74.48.68
EXT_64,54,184,40,9,api_endpoint,54.184.40.9
EXT_65,23,22,167,116,cloud_service,23.22.167.116
EXT_66,8,20,211,195,dns_server,8.20.211.195
EXT_67,40,192,219,23,cloud_service,40.192.219.23
EXT_68,93,173,110,172,web_server,93.173.110.172
EXT_69,199,79,71,164,cloud_service,199.79.71.164
EXT_70,72,188,38,86,mail_server,72.188.38.86
EXT_71,31,90,211,191,api_endpoint,31.90.211.191
EXT_72,74,86,217,107,mail_server,74.86.217.107
EXT_73,23,234,215,11,dns_server,23.234.215.11
EXT_74,54,76,160,211,cloud_service,54.76.160.211
EXT_75,93,213,37,98,api_endpoint,93.213.37.98
EXT_76,208,238,177,232,mail_server,208.238.177.232
EXT_77,204,11,129,237,web_server,204.11.129.237
EXT_78,54,81,15,144,cdn,54.81.15.144
EXT_79,34,228,197,43,cloud_service,34.228.197.43
EXT_80,172,180,131,138,web_server,172.180.131.138
EXT_81,17,181,211,241,mail_server,17.181.211.241
EXT_82,13,174,116,75,web_server,13.174.116.75
EXT_83,17,53,242,56,cdn,17.53.242.56
EXT_84,13,4,102,122,api_endpoint,13.4.102.122
EXT_85,17,30,254,148,api_endpoint,17.30.254.148
EXT_86,35,227,76,94,api_endpoint,35.227.76.94
EXT_87,93,18,85,135,web_server,93.18.85.135
EXT_88,54,66,36,242,mail_server,54.66.36.242
EXT_89,8,243,31,56,mail_server,8.243.31.56
EXT_90,34,107,106,248,cdn,34.107.106.248
EXT_91,72,102,211,138,dns_server,72.102.211.138
EXT_92,204,75,93,26,cloud_service,204.75.93.26
EXT_93,172,145,131,237,api_endpoint,172.145.131.237
EXT_94,35,135,153,182,mail_server,35.135.153.182
EXT_95,64,80,25,231,api_endpoint,64.80.25.231
EXT_96,17,112,17,132,web_server,17.112.17.132
EXT_97,64,163,159,160,cdn,64.163.159.160
EXT_98,17,158,184,187,mail_server,17.158.184.187
EXT_99,172,115,176,235,cdn,172.115.176.235
