flow_id,src_ip,dst_ip,src_port,dst_port,protocol,service_name,bytes,packets,duration_ms,tcp_flags,input_interface,output_interface,tos,direction,host_type,ext_category
FLOW_0,10.4.2.244,17.30.254.148,57776,3389,6,RDP,31894,99,23281,FIN-ACK,Gi0/1,Gi0/3,0,outbound,printer,api_endpoint
FLOW_1,10.1.155.52,172.74.48.68,53103,6379,6,REDIS,41067,80,11083,ACK,Gi1/1,Gi1/0,0,inbound,server,api_endpoint
FLOW_2,10.4.22.189,8.97.164.61,52888,3306,6,MYSQL,3885,14,107289,ACK,Gi1/0,Gi1/1,0,outbound,workstation,web_server
FLOW_3,10.1.20.88,17.34.147.91,50989,25,6,SMTP,116757,29,25187,RST-ACK,Gi0/2,Gi0/1,32,inbound,workstation,cdn
FLOW_4,10.1.19.148,74.176.191.215,52133,25,6,SMTP,17068,4,66965,ACK,Gi0/2,Gi1/1,46,inbound,iot_device,dns_server
FLOW_5,10.3.22.19,35.192.43.170,59474,22,6,SSH,42861,54,42327,RST,Gi1/0,Gi0/2,0,outbound,workstation,mail_server
FLOW_6,10.5.60.205,17.234.207.74,59825,5432,6,POSTGRESQL,4494,6,35471,ACK,Gi1/0,Gi0/0,0,inbound,server,cdn
FLOW_7,10.3.145.113,64.98.113.127,52314,22,6,SSH,42547,22,138732,RST-ACK,Gi0/0,Gi0/0,32,outbound,workstation,web_server
FLOW_8,10.5.8.222,72.88.246.35,54052,143,6,IMAP,35950,97,26507,ACK,Gi1/0,Gi1/0,40,outbound,server,web_server
FLOW_9,10.3.119.37,17.181.211.241,59495,3389,6,RDP,52166,17,46174,ACK,Gi1/1,Gi0/0,0,inbound,workstation,mail_server
FLOW_10,10.2.98.35,54.184.40.9,63856,6379,6,REDIS,49421,7,18565,ACK,Gi0/3,Gi0/1,32,outbound,workstation,api_endpoint
FLOW_11,10.2.20.41,72.102.211.138,53373,110,6,POP3,37128,3,1140,SYN,Gi0/0,Gi0/2,46,outbound,workstation,dns_server
FLOW_12,10.4.22.189,104.12.235.110,64791,3306,6,MYSQL,248017,21,7387,PSH-ACK,Gi0/0,Gi0/0,46,inbound,workstation,api_endpoint
FLOW_13,10.1.29.169,17.69.68.64,49179,6379,6,REDIS,86280,8,6923,SYN,Gi0/2,Gi0/0,32,inbound,workstation,dns_server
FLOW_14,10.3.220.174,64.163.159.160,60324,21,6,FTP,101843,28,5086,PSH-ACK,Gi0/3,Gi1/0,0,outbound,workstation,cdn
FLOW_15,10.5.137.63,74.86.217.107,61329,80,6,HTTP,178608,43,22223,RST-ACK,Gi1/1,Gi0/1,32,outbound,iot_device,mail_server
FLOW_16,10.1.155.52,172.74.48.68,51113,6379,6,REDIS,119065,63,38774,RST-ACK,Gi0/0,Gi1/0,46,inbound,server,api_endpoint
FLOW_17,10.3.30.10,8.108.233.76,52831,123,17,NTP,11603,0,69424,FIN-ACK,Gi0/1,Gi0/1,0,inbound,printer,web_server
FLOW_18,10.3.30.10,157.206.180.78,52491,123,17,NTP,1482,58,884,PSH-ACK,Gi1/0,Gi0/2,0,outbound,printer,web_server
FLOW_19,10.3.88.117,172.145.131.237,59447,21,6,FTP,38233,8,18233,ACK,Gi0/2,Gi1/1,32,inbound,workstation,api_endpoint
FLOW_20,10.1.20.88,23.173.156.147,64531,25,6,SMTP,20065,5,3192,ACK,Gi0/0,Gi0/3,0,inbound,workstation,dns_server
FLOW_21,10.3.119.37,17.181.211.241,61809,3389,6,RDP,9417,24,27250,ACK,Gi1/1,Gi0/1,0,inbound,workstation,mail_server
FLOW_22,10.2.107.89,40.192.219.23,49890,80,6,HTTP,102422,9,32139,ACK,Gi0/2,Gi0/2,40,outbound,server,cloud_service
FLOW_23,10.3.145.113,8.229.200.38,58371,22,6,SSH,107169,6,67448,ACK,Gi0/3,Gi0/2,40,outbound,workstation,web_server
FLOW_24,10.4.33.154,52.147.78.102,61446,53,17,DNS,9028,120,30442,ACK,Gi0/2,Gi0/3,0,outbound,workstation,cloud_service
FLOW_25,10.4.2.244,17.30.254.148,62511,3389,6,RDP,10942,26,36598,PSH-ACK,Gi0/2,Gi1/1,0,inbound,printer,api_endpoint
FLOW_26,10.3.30.10,157.206.180.78,57308,123,17,NTP,10912,12,607,ACK,Gi0/1,Gi1/1,40,outbound,printer,web_server
FLOW_27,10.1.128.143,34.28.93.71,60130,22,6,SSH,24641,36,35850,SYN-ACK,Gi0/0,Gi0/1,0,outbound,printer,dns_server
FLOW_28,10.3.229.197,208.238.177.232,52395,161,17,SNMP,11516,39,7396,ACK,Gi1/1,Gi0/0,0,outbound,iot_device,mail_server
FLOW_29,10.5.137.63,74.86.217.107,56862,80,6,HTTP,29199,31,33044,RST-ACK,Gi0/2,Gi0/3,0,outbound,iot_device,mail_server
FLOW_30,10.4.2.244,13.4.102.122,63193,3389,6,RDP,3762,5,79431,PSH-ACK,Gi0/1,Gi1/0,0,inbound,printer,api_endpoint
FLOW_31,10.5.8.222,72.88.246.35,60610,143,6,IMAP,15702,55,70377,RST-ACK,Gi0/0,Gi0/0,40,inbound,server,web_server
FLOW_32,10.1.9.139,35.185.155.127,65312,5432,6,POSTGRESQL,76524,18,3052,ACK,Gi0/1,Gi0/1,40,outbound,iot_device,dns_server
FLOW_33,10.3.108.103,35.227.76.94,51300,3389,6,RDP,10164,148,4684,ACK,Gi0/0,Gi0/3,0,outbound,printer,api_endpoint
FLOW_34,10.1.128.143,208.34.126.88,63076,22,6,SSH,5160,0,20146,ACK,Gi0/3,Gi0/3,0,outbound,printer,mail_server
FLOW_35,10.3.30.10,8.108.233.76,59227,123,17,NTP,105822,30,61632,ACK,Gi0/2,Gi0/2,46,inbound,printer,web_server
FLOW_36,10.1.9.139,35.185.155.127,56870,5432,6,POSTGRESQL,3080,75,25200,ACK,Gi1/1,Gi0/1,0,inbound,iot_device,dns_server
FLOW_37,10.4.212.233,204.169.17.89,62549,25,6,SMTP,121829,73,8750,ACK,Gi0/2,Gi1/1,0,outbound,workstation,dns_server
FLOW_38,10.4.100.164,199.24.125.134,49479,3306,6,MYSQL,1716,3,28430,SYN-ACK,Gi0/1,Gi1/1,40,inbound,server,cloud_service
FLOW_39,10.4.229.250,208.224.230.164,49458,993,6,IMAPS,3207,154,28721,ACK,Gi1/1,Gi0/3,0,inbound,workstation,api_endpoint
FLOW_40,10.2.33.126,52.5.188.86,64313,993,6,IMAPS,27762,2,39902,ACK,Gi1/1,Gi0/2,0,outbound,workstation,dns_server
FLOW_41,10.1.128.143,208.34.126.88,58267,22,6,SSH,36945,63,12072,ACK,Gi1/0,Gi0/2,0,outbound,printer,mail_server
FLOW_42,10.3.145.113,8.229.200.38,58494,22,6,SSH,6659,11,17254,ACK,Gi0/0,Gi0/0,40,outbound,workstation,web_server
FLOW_43,10.5.107.60,64.40.80.158,63765,5432,6,POSTGRESQL,42970,13,20964,ACK,Gi0/0,Gi0/2,0,outbound,workstation,web_server
FLOW_44,10.3.145.113,8.229.200.38,57332,22,6,SSH,33200,115,7068,SYN,Gi0/3,Gi0/2,0,inbound,workstation,web_server
