host_id,ip_octet_1,ip_octet_2,ip_octet_3,ip_octet_4,host_type,src_ip
HOST_0,10,3,145,113,workstation,10.3.145.113
HOST_1,10,1,128,143,printer,10.1.128.143
HOST_2,10,3,22,19,workstation,10.3.22.19
HOST_3,10,5,60,205,server,10.5.60.205
HOST_4,10,1,9,139,iot_device,10.1.9.139
HOST_5,10,4,42,99,printer,10.4.42.99
HOST_6,10,5,107,60,workstation,10.5.107.60
HOST_7,10,3,247,248,iot_device,10.3.247.248
HOST_8,10,5,8,222,server,10.5.8.222
HOST_9,10,3,21,46,printer,10.3.21.46
HOST_10,10,5,245,10,workstation,10.5.245.10
HOST_11,10,4,21,81,printer,10.4.21.81
HOST_12,10,5,173,247,workstation,10.5.173.247
HOST_13,10,1,20,88,workstation,10.1.20.88
HOST_14,10,4,212,233,workstation,10.4.212.233
HOST_15,10,1,19,148,iot_device,10.1.19.148
HOST_16,10,3,208,122,workstation,10.3.208.122
HOST_17,10,3,71,105,printer,10.3.71.105
HOST_18,10,2,221,156,iot_device,10.2.221.156
HOST_19,10,4,33,154,workstation,10.4.33.154
HOST_20,10,2,33,126,workstation,10.2.33.126
HOST_21,10,4,229,250,workstation,10.4.229.250
HOST_22,10,2,178,54,workstation,10.2.178.54
HOST_23,10,4,166,211,workstation,10.4.166.211
HOST_24,10,4,100,164,server,10.4.100.164
HOST_25,10,4,22,189,workstation,10.4.22.189
HOST_26,10,3,204,239,workstation,10.3.204.239
HOST_27,10,3,30,10,printer,10.3.30.10
HOST_28,10,3,173,173,workstation,10.3.173.173
HOST_29,10,2,53,229,workstation,10.2.53.229
HOST_30,10,1,29,169,workstation,10.1.29.169
HOST_31,10,1,155,52,server,10.1.155.52
HOST_32,10,2,98,35,workstation,10.2.98.35
HOST_33,10,2,107,89,server,10.2.107.89
HOST_34,10,3,139,10,workstation,10.3.139.10
HOST_35,10,3,63,142,iot_device,10.3.63.142
HOST_36,10,5,137,63,iot_device,10.5.137.63
HOST_37,10,5,224,105,workstation,10.5.224.105
HOST_38,10,3,229,197,iot_device,10.3.229.197
HOST_39,10,5,114,83,workstation,10.5.114.83
HOST_40,10,3,119,37,workstation,10.3.119.37
HOST_41,10,1,173,140,printer,10.1.173.140
HOST_42,10,4,2,244,printer,10.4.2.244
HOST_43,10,3,108,103,printer,10.3.108.103
HOST_44,10,3,227,28,iot_device,10.3.227.28
HOST_45,10,2,20,41,workstation,10.2.20.41
HOST_46,10,3,88,117,workstation,10.3.88.117
HOST_47,10,1,91,219,printer,10.1.91.219
HOST_48,10,3,220,174,workstation,10.3.220.174
HOST_49,10,1,169,178,server,10.1.169.178
