client_id,client_ip_octet_1,client_ip_octet_2,client_ip_octet_3,client_ip_octet_4,client_device_type,client_ip
CLIENT_0,10,20,164,103,workstation,10.20.164.103
CLIENT_1,10,5,251,244,iot_device,10.5.251.244
CLIENT_2,10,1,202,81,laptop,10.1.202.81
CLIENT_3,192,1,193,238,iot_device,192.1.193.238
CLIENT_4,192,3,31,190,workstation,192.3.31.190
CLIENT_5,10,10,238,170,laptop,10.10.238.170
CLIENT_6,10,4,106,192,workstation,10.4.106.192
CLIENT_7,192,3,212,247,workstation,192.3.212.247
CLIENT_8,192,2,108,197,iot_device,192.2.108.197
CLIENT_9,10,4,251,232,workstation,10.4.251.232
CLIENT_10,10,168,214,42,workstation,10.168.214.42
CLIENT_11,10,4,76,68,mobile,10.4.76.68
CLIENT_12,10,4,135,152,laptop,10.4.135.152
CLIENT_13,10,5,194,150,iot_device,10.5.194.150
CLIENT_14,10,168,116,182,laptop,10.168.116.182
CLIENT_15,10,3,170,103,laptop,10.3.170.103
CLIENT_16,10,168,243,136,laptop,10.168.243.136
CLIENT_17,192,10,154,15,mobile,192.10.154.15
CLIENT_18,10,5,184,173,laptop,10.5.184.173
CLIENT_19,192,4,167,220,iot_device,192.4.167.220
CLIENT_20,192,3,174,134,workstation,192.3.174.134
CLIENT_21,10,4,111,185,workstation,10.4.111.185
CLIENT_22,10,3,214,203,laptop,10.3.214.203
CLIENT_23,10,168,116,9,laptop,10.168.116.9
CLIENT_24,192,3,14,16,laptop,192.3.14.16
CLIENT_25,10,5,122,56,laptop,10.5.122.56
CLIENT_26,10,2,129,245,laptop,10.2.129.245
CLIENT_27,10,5,239,55,workstation,10.5.239.55
CLIENT_28,10,5,88,43,laptop,10.5.88.43
CLIENT_29,192,1,12,50,workstation,192.1.12.50
CLIENT_30,10,20,238,173,laptop,10.20.238.173
CLIENT_31,10,168,54,2,workstation,10.168.54.2
CLIENT_32,10,168,39,24,iot_device,10.168.39.24
CLIENT_33,10,5,149,197,workstation,10.5.149.197
CLIENT_34,10,10,166,65,laptop,10.10.166.65
CLIENT_35,192,20,154,222,mobile,192.20.154.222
CLIENT_36,10,2,164,223,iot_device,10.2.164.223
CLIENT_37,192,10,241,47,laptop,192.10.241.47
CLIENT_38,10,168,161,86,workstation,10.168.161.86
CLIENT_39,192,168,105,70,workstation,192.168.105.70
CLIENT_40,10,168,165,28,workstation,10.168.165.28
CLIENT_41,10,1,203,195,laptop,10.1.203.195
CLIENT_42,10,4,103,119,workstation,10.4.103.119
CLIENT_43,192,2,107,88,laptop,192.2.107.88
CLIENT_44,192,5,253,200,workstation,192.5.253.200
CLIENT_45,10,2,31,188,mobile,10.2.31.188
CLIENT_46,192,3,20,94,iot_device,192.3.20.94
CLIENT_47,10,1,1,22,mobile,10.1.1.22
CLIENT_48,10,4,207,115,workstation,10.4.207.115
CLIENT_49,192,168,133,50,laptop,192.168.133.50
CLIENT_50,192,5,194,236,iot_device,192.5.194.236
CLIENT_51,10,5,225,28,workstation,10.5.225.28
