packet_timestamp,session_id,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_state,packet_type,direction,packet_size,seq_number,window_size,ttl,service_name
2025-01-20T09:00:00+00:00,SESS_0,192.3.246.155,20.31.238.48,60540,3306,ACK,CLOSED,,C2S,46,1000000,8192,128,MYSQL
2025-01-20T09:00:00+00:00,SESS_610,10.4.76.68,104.224.91.69,50380,80,ACK,CLOSED,,C2S,44,1000610,65535,64,HTTP
2025-01-20T09:00:00+00:00,SESS_611,10.168.24.156,17.174.13.70,58390,22,ACK,CLOSED,,C2S,43,1000611,8192,64,SSH
2025-01-20T09:00:00+00:00,SESS_126,192.168.148.162,72.243.53.16,53825,389,ACK,CLOSED,,C2S,47,1000126,16384,128,LDAP
2025-01-20T09:00:00+00:00,SESS_612,10.10.169.161,13.244.232.55,64927,22,ACK,CLOSED,,C2S,56,1000612,65535,128,SSH
2025-01-20T09:00:00+00:00,SESS_613,10.168.223.130,8.212.41.115,51621,443,ACK,CLOSED,,C2S,43,1000613,65535,64,HTTPS
2025-01-20T09:00:00+00:00,SESS_614,10.5.122.56,35.39.115.40,61628,25,ACK,CLOSED,,C2S,46,1000614,8192,128,SMTP
2025-01-20T09:00:00+00:00,SESS_125,10.4.251.232,204.75.47.229,53489,80,ACK,CLOSED,,C2S,51,1000125,65535,255,HTTP
2025-01-20T09:00:00+00:00,SESS_615,10.1.107.162,54.189.125.30,64258,22,ACK,CLOSED,,C2S,56,1000615,16384,64,SSH
2025-01-20T09:00:00+00:00,SESS_127,10.1.5.78,13.155.195.93,60578,443,ACK,CLOSED,,C2S,54,1000127,65535,64,HTTPS
2025-01-20T09:00:00+00:00,SESS_616,192.168.237.10,8.212.41.115,62555,443,ACK,CLOSED,,C2S,52,1000616,8192,64,HTTPS
2025-01-20T09:00:00+00:00,SESS_617,10.1.54.141,34.37.67.239,56018,6379,ACK,CLOSED,,C2S,48,1000617,8192,64,REDIS
2025-01-20T09:00:00+00:00,SESS_618,10.5.88.43,93.214.162.87,64523,25,ACK,CLOSED,,C2S,47,1000618,8192,255,SMTP
2025-01-20T09:00:00+00:00,SESS_619,192.20.154.222,8.157.202.164,49624,21,ACK,CLOSED,,C2S,51,1000619,65535,64,FTP
2025-01-20T09:00:00+00:00,SESS_123,192.4.167.220,20.87.231.105,62219,3389,ACK,CLOSED,,C2S,45,1000123,65535,255,RDP
2025-01-20T09:00:00+00:00,SESS_620,10.5.163.136,54.189.125.30,56984,22,ACK,CLOSED,,C2S,57,1000620,8192,128,SSH
2025-01-20T09:00:00+00:00,SESS_621,192.10.154.15,54.246.136.124,59878,3389,ACK,CLOSED,,C2S,54,1000621,65535,64,RDP
2025-01-20T09:00:00+00:00,SESS_622,10.168.39.24,17.174.26.17,57470,25,ACK,CLOSED,,C2S,46,1000622,16384,64,SMTP
2025-01-20T09:00:00+00:00,SESS_122,10.1.54.141,34.37.67.239,51347,6379,ACK,CLOSED,,C2S,59,1000122,65535,64,REDIS
2025-01-20T09:00:00+00:00,SESS_124,10.168.1.179,20.241.249.248,64649,6379,ACK,CLOSED,,C2S,44,1000124,32768,64,REDIS
2025-01-20T09:00:00+00:00,SESS_609,192.10.114.81,35.108.210.118,65129,443,ACK,CLOSED,,C2S,59,1000609,8192,64,HTTPS
2025-01-20T09:00:00+00:00,SESS_128,10.168.44.79,13.49.42.195,59062,3306,ACK,CLOSED,,C2S,44,1000128,65535,255,MYSQL
2025-01-20T09:00:00+00:00,SESS_608,10.3.92.143,72.243.53.16,64944,389,ACK,CLOSED,,C2S,43,1000608,8192,255,LDAP
2025-01-20T09:00:00+00:00,SESS_594,10.5.88.43,93.214.162.87,51842,25,ACK,CLOSED,,C2S,42,1000594,65535,64,SMTP
2025-01-20T09:00:00+00:00,SESS_133,192.4.167.220,20.87.231.105,51175,3389,ACK,CLOSED,,C2S,51,1000133,32768,64,RDP
2025-01-20T09:00:00+00:00,SESS_595,192.5.203.3,13.213.158.61,51000,6379,ACK,CLOSED,,C2S,40,1000595,65535,128,REDIS
2025-01-20T09:00:00+00:00,SESS_596,192.1.12.50,93.214.162.87,63290,25,ACK,CLOSED,,C2S,50,1000596,32768,128,SMTP
2025-01-20T09:00:00+00:00,SESS_132,10.168.44.79,13.49.42.195,57652,3306,ACK,CLOSED,,C2S,43,1000132,65535,128,MYSQL
2025-01-20T09:00:00+00:00,SESS_597,10.2.18.86,35.37.128.75,60876,445,ACK,CLOSED,,C2S,46,1000597,65535,128,SMB
2025-01-20T09:00:00+00:00,SESS_598,192.20.154.222,8.157.202.164,58117,21,ACK,CLOSED,,C2S,51,1000598,65535,64,FTP
2025-01-20T09:00:00+00:00,SESS_131,192.168.63.214,64.6.51.6,63091,445,ACK,CLOSED,,C2S,43,1000131,65535,64,SMB
2025-01-20T09:00:00+00:00,SESS_599,10.168.24.156,17.174.13.70,56346,22,ACK,CLOSED,,C2S,48,1000599,32768,255,SSH
2025-01-20T09:00:00+00:00,SESS_600,10.1.5.78,13.155.195.93,56060,389,ACK,CLOSED,,C2S,52,1000600,32768,128,LDAP
2025-01-20T09:00:00+00:00,SESS_601,10.168.44.79,13.49.42.195,55663,3306,ACK,CLOSED,,C2S,41,1000601,8192,255,MYSQL
2025-01-20T09:00:00+00:00,SESS_602,10.3.92.143,72.243.53.16,50386,389,ACK,CLOSED,,C2S,44,1000602,32768,128,LDAP
2025-01-20T09:00:00+00:00,SESS_603,10.1.5.78,13.155.195.93,49961,443,ACK,CLOSED,,C2S,47,1000603,65535,128,HTTPS
2025-01-20T09:00:00+00:00,SESS_130,10.10.246.215,13.107.88.99,53221,3306,ACK,CLOSED,,C2S,57,1000130,16384,64,MYSQL
