server_id,server_ip_octet_1,server_ip_octet_2,server_ip_octet_3,server_ip_octet_4,server_type,server_ip
SERVER_0,35,118,199,150,mail_server,35.118.199.150
SERVER_1,13,155,119,163,file_server,13.155.119.163
SERVER_2,64,146,198,190,mail_server,64.146.198.190
SERVER_3,199,253,101,246,file_server,199.253.101.246
SERVER_4,204,75,47,229,web_server,204.75.47.229
SERVER_5,104,224,91,69,mail_server,104.224.91.69
SERVER_6,72,52,34,41,cdn,72.52.34.41
SERVER_7,64,88,82,97,mail_server,64.88.82.97
SERVER_8,54,246,136,124,cdn,54.246.136.124
SERVER_9,20,87,231,105,cdn,20.87.231.105
SERVER_10,34,162,254,83,web_server,34.162.254.83
SERVER_11,64,20,21,201,web_server,64.20.21.201
SERVER_12,35,39,115,40,web_server,35.39.115.40
SERVER_13,8,87,203,240,cdn,8.87.203.240
SERVER_14,93,214,162,87,file_server,93.214.162.87
SERVER_15,93,35,92,129,web_server,93.35.92.129
SERVER_16,17,174,26,17,database,17.174.26.17
SERVER_17,8,157,202,164,database,8.157.202.164
SERVER_18,64,138,3,241,database,64.138.3.241
SERVER_19,52,151,123,114,database,52.151.123.114
SERVER_20,104,130,39,46,database,104.130.39.46
SERVER_21,142,250,244,13,api_server,142.250.244.13
SERVER_22,142,185,199,6,api_server,142.185.199.6
SERVER_23,72,183,187,234,cdn,72.183.187.234
SERVER_24,172,45,56,162,database,172.45.56.162
SERVER_25,8,104,42,2,file_server,8.104.42.2
SERVER_26,8,212,41,115,mail_server,8.212.41.115
SERVER_27,13,210,139,47,web_server,13.210.139.47
SERVER_28,35,108,210,118,api_server,35.108.210.118
SERVER_29,13,155,195,93,web_server,13.155.195.93
SERVER_30,35,79,187,114,cdn,35.79.187.114
SERVER_31,72,243,53,16,web_server,72.243.53.16
SERVER_32,35,166,227,146,database,35.166.227.146
SERVER_33,64,6,51,6,database,64.6.51.6
SERVER_34,35,37,128,75,web_server,35.37.128.75
SERVER_35,204,55,234,159,api_server,204.55.234.159
SERVER_36,72,184,60,242,web_server,72.184.60.242
SERVER_37,104,20,43,79,cdn,104.20.43.79
SERVER_38,13,239,184,104,mail_server,13.239.184.104
SERVER_39,13,244,232,55,mail_server,13.244.232.55
SERVER_40,54,189,125,30,api_server,54.189.125.30
SERVER_41,17,174,13,70,web_server,17.174.13.70
SERVER_42,20,31,238,48,web_server,20.31.238.48
SERVER_43,172,215,64,201,web_server,172.215.64.201
SERVER_44,13,49,42,195,web_server,13.49.42.195
SERVER_45,13,107,88,99,file_server,13.107.88.99
SERVER_46,13,213,158,61,mail_server,13.213.158.61
SERVER_47,20,241,249,248,cdn,20.241.249.248
SERVER_48,172,178,187,25,file_server,172.178.187.25
SERVER_49,34,37,67,239,api_server,34.37.67.239
