course_id,department,course_level,units,has_prerequisites,difficulty
COURSE_0,ENG,200,3,No,Medium
COURSE_1,ENG,400,3,No,Medium
COURSE_2,CS,300,3,No,Easy
COURSE_3,BIOL,200,3,No,Easy
COURSE_4,CS,100,3,No,Medium
COURSE_5,PHYS,400,4,No,Easy
COURSE_6,CHEM,200,3,No,Medium
COURSE_7,CS,300,3,No,Hard
COURSE_8,BIOL,300,3,No,Medium
COURSE_9,HIST,200,4,No,Hard
COURSE_10,HIST,200,4,No,Medium
COURSE_11,BIOL,400,3,No,Easy
COURSE_12,PHYS,400,3,No,Easy
COURSE_13,ENG,400,4,No,Medium
COURSE_14,HIST,100,4,No,Medium
COURSE_15,HIST,200,3,No,Medium
COURSE_16,CS,100,4,No,Medium
COURSE_17,BIOL,400,4,No,Medium
COURSE_18,ENG,300,3,No,Hard
COURSE_19,MATH,100,3,No,Medium
COURSE_20,CHEM,400,3,No,Easy
COURSE_21,HIST,400,3,No,Medium
COURSE_22,BIOL,200,3,No,Medium
COURSE_23,MATH,300,3,No,Medium
COURSE_24,PHYS,100,4,No,Easy
