enrollment_id,fk_student_id,fk_course_id,fk_semester_id,grade,status
ENR_0,STU_85,COURSE_21,SEM_5,D,Completed
ENR_1,STU_63,COURSE_15,SEM_3,A,Completed
ENR_2,STU_51,COURSE_12,SEM_3,B,Completed
ENR_3,STU_26,COURSE_6,SEM_1,C,Completed
ENR_4,STU_30,COURSE_7,SEM_1,B,Completed
ENR_5,STU_4,COURSE_1,SEM_0,W,Withdrawn
ENR_6,STU_7,COURSE_1,SEM_0,A,Completed
ENR_7,STU_1,COURSE_0,SEM_0,B,Completed
ENR_8,STU_17,COURSE_4,SEM_1,B,Completed
ENR_9,STU_81,COURSE_20,SEM_4,B,Completed
ENR_10,STU_64,COURSE_16,SEM_3,B,Completed
ENR_11,STU_91,COURSE_22,SEM_5,A,Completed
ENR_12,STU_50,COURSE_12,SEM_3,C,Completed
ENR_13,STU_60,COURSE_15,SEM_3,B,Completed
ENR_14,STU_97,COURSE_24,SEM_5,C,Completed
ENR_15,STU_72,COURSE_18,SEM_4,B,Completed
ENR_16,STU_63,COURSE_15,SEM_3,F,Failed
ENR_17,STU_54,COURSE_13,SEM_3,F,Failed
ENR_18,STU_55,COURSE_13,SEM_3,B,Completed
ENR_19,STU_93,COURSE_23,SEM_5,C,Completed
ENR_20,STU_27,COURSE_6,SEM_1,A,Completed
ENR_21,STU_81,COURSE_20,SEM_4,B,Completed
ENR_22,STU_67,COURSE_16,SEM_4,B,Completed
ENR_23,STU_0,COURSE_0,SEM_0,A,Completed
ENR_24,STU_39,COURSE_9,SEM_2,A,Completed
ENR_25,STU_85,COURSE_21,SEM_5,A,Completed
ENR_26,STU_55,COURSE_13,SEM_3,F,Failed
ENR_27,STU_3,COURSE_0,SEM_0,A,Completed
ENR_28,STU_76,COURSE_19,SEM_4,B,Completed
ENR_29,STU_72,COURSE_18,SEM_4,A,Completed
ENR_30,STU_84,COURSE_21,SEM_5,F,Failed
ENR_31,STU_17,COURSE_4,SEM_1,B,Completed
ENR_32,STU_8,COURSE_2,SEM_0,B,Completed
ENR_33,STU_86,COURSE_21,SEM_5,W,Withdrawn
ENR_34,STU_2,COURSE_0,SEM_0,C,Completed
ENR_35,STU_54,COURSE_13,SEM_3,A,Completed
ENR_36,STU_8,COURSE_2,SEM_0,A,Completed
ENR_37,STU_29,COURSE_7,SEM_1,A,Completed
ENR_38,STU_48,COURSE_12,SEM_2,B,Completed
ENR_39,STU_42,COURSE_10,SEM_2,W,Withdrawn
ENR_40,STU_40,COURSE_10,SEM_2,C,Completed
ENR_41,STU_2,COURSE_0,SEM_0,A,Completed
ENR_42,STU_0,COURSE_0,SEM_0,B,Completed
ENR_43,STU_12,COURSE_3,SEM_0,W,Withdrawn
ENR_44,STU_0,COURSE_0,SEM_0,C,Completed
ENR_45,STU_67,COURSE_16,SEM_4,B,Completed
ENR_46,STU_52,COURSE_13,SEM_3,C,Completed
ENR_47,STU_64,COURSE_16,SEM_3,A,Completed
ENR_48,STU_25,COURSE_6,SEM_1,B,Completed
ENR_49,STU_61,COURSE_15,SEM_3,B,Completed
ENR_50,STU_76,COURSE_19,SEM_4,F,Failed
ENR_51,STU_38,COURSE_9,SEM_2,D,Completed
ENR_52,STU_46,COURSE_11,SEM_2,B,Completed
ENR_53,STU_99,COURSE_24,SEM_5,C,Completed
ENR_54,STU_80,COURSE_20,SEM_4,D,Completed
ENR_55,STU_98,COURSE_24,SEM_5,C,Completed
ENR_56,STU_37,COURSE_9,SEM_2,B,Completed
ENR_57,STU_68,COURSE_17,SEM_4,C,Completed
ENR_58,STU_95,COURSE_23,SEM_5,B,Completed
ENR_59,STU_65,COURSE_16,SEM_3,C,Completed
ENR_60,STU_84,COURSE_21,SEM_5,F,Failed
ENR_61,STU_68,COURSE_17,SEM_4,C,Completed
ENR_62,STU_70,COURSE_17,SEM_4,F,Failed
ENR_63,STU_38,COURSE_9,SEM_2,W,Withdrawn
ENR_64,STU_87,COURSE_21,SEM_5,C,Completed
ENR_65,STU_13,COURSE_3,SEM_0,F,Failed
ENR_66,STU_57,COURSE_14,SEM_3,D,Completed
ENR_67,STU_72,COURSE_18,SEM_4,W,Withdrawn
ENR_68,STU_84,COURSE_21,SEM_5,W,Withdrawn
ENR_69,STU_52,COURSE_13,SEM_3,D,Completed
ENR_70,STU_37,COURSE_9,SEM_2,B,Completed
ENR_71,STU_31,COURSE_7,SEM_1,C,Completed
ENR_72,STU_42,COURSE_10,SEM_2,B,Completed
ENR_73,STU_48,COURSE_12,SEM_2,D,Completed
ENR_74,STU_71,COURSE_17,SEM_4,A,Completed
ENR_75,STU_88,COURSE_22,SEM_5,D,Completed
ENR_76,STU_7,COURSE_1,SEM_0,B,Completed
