student_id,major,class_standing,enrollment_status,gpa_bucket
STU_0,CS,Freshman,Part-time,Medium
STU_1,BIOL,Sophomore,Part-time,Low
STU_2,ENG,Freshman,Part-time,High
STU_3,CHEM,Freshman,Full-time,Medium
STU_4,ENG,Sophomore,Full-time,Medium
STU_5,PHYS,Sophomore,Part-time,High
STU_6,HIST,Sophomore,Full-time,Medium
STU_7,MATH,Senior,Full-time,Medium
STU_8,BIOL,Junior,Part-time,High
STU_9,ENG,Senior,Full-time,High
STU_10,HIST,Sophomore,Full-time,High
STU_11,ENG,Junior,Full-time,Low
STU_12,HIST,Junior,Full-time,Medium
STU_13,CHEM,Freshman,Full-time,Medium
STU_14,CS,Senior,Full-time,High
STU_15,BIOL,Freshman,Full-time,High
STU_16,PHYS,Senior,Full-time,Medium
STU_17,CHEM,Freshman,Part-time,Low
STU_18,ENG,Junior,Full-time,Medium
STU_19,CHEM,Junior,Part-time,Medium
STU_20,MATH,Senior,Full-time,Low
STU_21,PHYS,Sophomore,Full-time,Medium
STU_22,HIST,Freshman,Full-time,Medium
STU_23,CHEM,Junior,Part-time,Low
STU_24,HIST,Sophomore,Full-time,Medium
STU_25,HIST,Senior,Full-time,High
STU_26,MATH,Senior,Full-time,Medium
STU_27,HIST,Junior,Full-time,Medium
STU_28,CHEM,Sophomore,Full-time,High
STU_29,PHYS,Senior,Full-time,High
STU_30,CHEM,Junior,Part-time,Medium
STU_31,PHYS,Freshman,Full-time,Medium
STU_32,ENG,Senior,Full-time,High
STU_33,CHEM,Senior,Full-time,Low
STU_34,CS,Sophomore,Full-time,Low
STU_35,CS,Sophomore,Full-time,Medium
STU_36,ENG,Junior,Full-time,High
STU_37,CS,Freshman,Part-time,High
STU_38,BIOL,Sophomore,Full-time,Medium
STU_39,PHYS,Freshman,Full-time,Low
STU_40,CHEM,Freshman,Full-time,Medium
STU_41,ENG,Sophomore,Full-time,Low
STU_42,PHYS,Freshman,Full-time,Low
STU_43,BIOL,Freshman,Full-time,Medium
STU_44,CS,Freshman,Full-time,Low
STU_45,HIST,Junior,Full-time,Medium
STU_46,BIOL,Junior,Full-time,High
STU_47,CS,Junior,Full-time,Medium
STU_48,ENG,Freshman,Full-time,Medium
STU_49,CHEM,Senior,Full-time,Low
STU_50,HIST,Junior,Part-time,Medium
STU_51,PHYS,Freshman,Full-time,Medium
STU_52,PHYS,Senior,Part-time,Low
STU_53,PHYS,Freshman,Full-time,Low
STU_54,BIOL,Sophomore,Part-time,Medium
STU_55,HIST,Junior,Full-time,Medium
STU_56,ENG,Senior,Part-time,High
STU_57,HIST,Junior,Full-time,Low
STU_58,HIST,Freshman,Full-time,Low
STU_59,HIST,Junior,Part-time,Medium
STU_60,CHEM,Sophomore,Full-time,Medium
STU_61,ENG,Sophomore,Full-time,Medium
STU_62,ENG,Junior,Part-time,High
STU_63,HIST,Senior,Full-time,Medium
STU_64,BIOL,Junior,Part-time,High
STU_65,HIST,Sophomore,Part-time,Medium
STU_66,CHEM,Senior,Full-time,Medium
STU_67,CS,Sophomore,Full-time,Medium
STU_68,ENG,Junior,Part-time,Low
STU_69,ENG,Senior,Full-time,Medium
STU_70,BIOL,Junior,Full-time,Medium
STU_71,MATH,Freshman,Full-time,High
STU_72,CS,Freshman,Part-time,Medium
STU_73,CS,Sophomore,Part-time,High
STU_74,BIOL,Senior,Full-time,Medium
STU_75,CS,Freshman,Full-time,Medium
STU_76,CHEM,Junior,Full-time,Medium
STU_77,CHEM,Senior,Part-time,High
STU_78,CS,Junior,Part-time,Low
STU_79,CS,Senior,Part-time,High
STU_80,PHYS,Senior,Full-time,Medium
STU_81,MATH,Senior,Full-time,Medium
STU_82,BIOL,Junior,Part-time,High
STU_83,CS,Freshman,Part-time,Low
STU_84,BIOL,Senior,Full-time,Medium
STU_85,CS,Sophomore,Part-time,Medium
STU_86,ENG,Senior,Part-time,High
STU_87,CHEM,Sophomore,Full-time,Medium
STU_88,ENG,Freshman,Part-time,High
STU_89,HIST,Senior,Full-time,High
STU_90,BIOL,Senior,Full-time,Medium
STU_91,CS,Sophomore,Full-time,Medium
STU_92,BIOL,Sophomore,Full-time,High
STU_93,CS,Sophomore,Full-time,Low
STU_94,HIST,Senior,Full-time,High
STU_95,CHEM,Freshman,Full-time,Low
STU_96,PHYS,Junior,Full-time,Low
STU_97,CHEM,Junior,Full-time,Low
STU_98,PHYS,Sophomore,Part-time,Low
STU_99,BIOL,Senior,Full-time,Low
