duration,src_ip_1,src_ip_2,src_ip_3,src_ip_4,dst_ip_1,dst_ip_2,dst_ip_3,dst_ip_4,src_port,dst_port,protocol,tos,ttl,packets,bytes,TCPflags,label
0.164,220,169,118,133,42,219,155,56,50334,80,TCP,0,0,8,796,.APRSF,background
0.0,165,51,107,234,42,219,153,191,29433,53,UDP,0,40,3,195,.A....,background
4.8,42,219,157,222,63,128,22,194,17583,53,UDP,0,0,2,117,.A....,background
0.0,207,29,21,246,42,219,159,87,80,52359,TCP,0,0,1,40,.A...F,background
0.0,42,219,153,7,185,209,3,136,53,47248,UDP,0,0,1,206,.A....,background
8.188,209,51,4,165,42,219,156,211,49046,443,TCP,0,0,10,1687,.AP.S.,background
0.956,42,219,154,123,213,46,1,168,995,60858,TCP,0,0,15,2280,.APRSF,background
0.0,76,163,183,231,42,219,154,133,53966,80,TCP,0,0,1,52,.A....,background
3.02,42,219,159,95,184,149,197,51,3055,445,TCP,0,0,2,96,....S.,background
0.0,216,221,118,172,42,219,159,85,80,50964,TCP,0,40,1,52,.A....,background
1.012,42,219,154,119,175,177,229,54,80,5053,TCP,0,0,3,128,.A..SF,background
2.028,234,38,48,77,42,219,158,161,16691,25,TCP,0,40,6,353,.APRS.,background
0.0,214,45,31,60,42,219,154,154,49815,80,TCP,0,0,2,80,.A.R.F,background
9.564,42,219,155,26,43,164,49,177,43126,80,TCP,0,0,6,1000,.AP.SF,background
1.784,74,36,13,107,42,219,155,28,60116,443,TCP,0,0,12,2645,.APRSF,background
1.216,42,219,159,85,223,113,2,33,28182,13206,TCP,0,0,5,280,.AP.SF,background
0.0,42,219,152,249,53,228,64,200,54738,53,UDP,0,0,1,61,.A....,background
0.0,222,244,237,111,42,219,153,191,14747,53,UDP,0,40,3,210,.A....,background
0.0,42,219,156,231,143,72,8,137,36856,53,UDP,0,0,2,128,.A....,background
0.0,101,202,193,18,42,219,153,191,32484,53,UDP,0,40,5,350,.A....,background
0.0,184,186,216,129,42,219,159,194,36972,53,UDP,0,40,1,71,.A....,background
4.588,74,57,16,238,42,219,155,28,58287,443,TCP,0,0,13,2929,.APRSF,background
35.092,220,66,95,41,42,219,153,89,5938,59787,TCP,0,0,4,354,.AP...,background
0.0,42,219,157,24,209,51,215,152,57757,56266,UDP,0,0,2,196,.A....,background
1.356,42,219,155,28,70,252,168,144,443,50296,TCP,0,0,9,3292,.APRSF,background
0.312,42,219,154,114,122,13,55,222,80,52796,TCP,0,0,2,100,.A.RS.,background
0.0,42,219,153,89,52,114,87,45,63295,53,UDP,0,0,1,84,.A....,background
0.0,175,158,68,63,42,219,155,119,50002,13299,UDP,0,40,1,50,.A....,background
0.0,173,121,198,243,42,219,152,249,35620,53,UDP,0,0,1,57,.A....,background
0.916,204,97,92,98,42,219,154,101,37464,25,TCP,0,0,47,36579,.APRSF,background
5.084,79,242,43,18,42,219,159,181,5938,51095,TCP,0,72,2,104,.AP...,background
0.0,42,219,152,249,43,173,51,74,53,20145,UDP,0,0,1,97,.A....,background
11.208,62,234,193,158,42,219,153,89,443,4853,TCP,0,0,30,5628,.AP.S.,background
0.0,42,219,156,231,143,72,8,137,53252,53,UDP,0,0,1,56,.A....,background
1.764,42,219,155,28,74,159,143,39,443,24874,TCP,0,0,10,3344,.APRSF,background
0.168,211,58,80,216,42,219,155,56,63357,80,TCP,0,0,10,985,.AP.SF,background
